gene_id,infeksi1,infeksi2,infeksi3,infeksi4,infeksi5,kontrol1,kontrol2,kontrol3,kontrol4,kontrol5
gene002,115,124,134,206,158,196,168,163,251,126
gene001,504,1255,328,1054,739,83,35,102,91,64
gene003,121,150,115,33,104,200,112,184,80,296
gene004,1252,1150,1214,1354,707,310,283,451,430,312
gene006,9,27,16,9,46,278,200,201,176,51
gene007,81,102,94,94,62,112,56,75,67,64
gene005,930,1286,587,995,467,123,123,192,144,203
gene008,230,94,174,288,139,137,206,195,214,112
gene009,251,195,152,112,408,280,435,331,206,299
gene010,136,344,254,144,327,286,238,416,395,214
gene011,174,238,113,124,126,115,86,166,230,110
gene012,65,112,70,54,56,110,35,80,56,54
gene013,131,123,187,91,80,110,91,134,118,102
gene014,243,163,222,374,227,203,158,235,179,238
gene015,182,331,419,387,299,78,91,222,99,104
gene016,86,179,147,102,163,155,91,102,72,134
gene017,339,422,179,387,211,176,203,303,328,387
gene018,115,97,163,110,65,232,214,496,318,256
gene020,70,118,150,64,96,99,83,128,46,99
gene022,19,6,0,9,3,80,67,46,33,43
gene021,163,115,83,115,78,54,99,112,163,171
gene023,72,19,219,254,94,160,94,94,182,152
gene019,2677,1864,582,1792,1216,278,427,502,478,531
gene024,96,238,152,147,216,99,192,294,206,314
gene025,81,99,62,64,78,104,72,51,86,75
gene026,48,43,19,46,51,32,30,17,62,43
gene027,133,123,51,78,40,72,91,158,131,107
gene028,70,67,72,186,67,83,67,91,123,30
gene029,126,163,136,113,99,232,94,115,160,136
gene030,99,177,56,182,67,155,107,150,81,166
gene031,406,488,414,272,542,248,238,208,403,267
gene032,291,398,311,227,235,472,254,454,320,279
gene033,102,54,95,104,96,38,38,112,158,102
gene035,62,192,155,66,105,89,105,78,115,91
gene034,768,683,566,1043,714,139,73,76,222,166
gene036,307,574,278,531,462,75,147,182,123,168
gene037,283,120,160,232,192,38,59,43,40,67
gene039,46,78,38,49,78,33,35,14,38,59
gene038,424,238,560,592,248,304,451,264,515,571
gene040,139,78,118,192,30,102,91,62,48,72
gene041,51,56,32,24,38,22,70,24,62,46
gene042,11,35,19,22,19,248,318,342,240,262
gene043,59,80,62,35,41,25,27,46,59,67
gene044,62,72,83,80,43,54,88,102,94,59
gene045,168,131,195,179,54,163,129,99,96,174
gene046,38,216,192,203,214,57,48,72,190,59
gene047,616,470,670,499,595,70,75,118,62,110
gene048,166,110,94,123,168,78,104,136,102,112
gene049,312,347,121,123,259,118,187,155,427,219
gene050,166,102,43,198,70,19,104,78,59,22
gene051,315,392,136,320,115,290,241,264,566,123
gene053,19,51,19,27,16,27,43,6,22,14
gene052,208,230,118,224,208,174,238,331,243,118
gene054,1000,2363,1450,3106,1096,414,283,310,104,275
gene055,227,128,176,27,107,99,176,126,54,115
gene057,27,35,27,75,48,73,27,38,67,62
gene056,139,112,299,320,155,120,270,203,139,177
gene058,174,272,179,275,243,315,427,150,126,347
gene059,552,515,376,422,504,904,888,558,379,304
gene060,118,294,78,81,104,184,131,179,107,65
gene061,75,56,35,54,35,51,32,51,48,35
gene063,27,41,27,14,11,120,94,160,107,70
gene062,382,339,171,467,255,35,78,67,40,19
gene064,54,67,24,62,83,70,32,46,123,17
gene065,166,270,142,158,222,206,184,88,54,174
gene066,1323,1048,523,603,366,112,126,342,91,144
gene067,398,240,923,728,580,126,422,424,451,430
gene068,307,158,142,236,222,291,195,414,598,251
gene069,67,35,86,54,89,62,38,91,67,48
gene071,174,177,243,167,358,310,139,211,155,188
gene072,48,150,79,48,118,187,51,104,97,99
gene070,1779,1326,995,1492,1275,88,152,166,88,128
gene073,38,104,38,30,35,64,19,67,70,62
gene074,38,64,16,19,14,176,294,107,168,200
gene075,107,150,192,248,99,54,102,78,144,142
gene077,38,88,48,48,46,224,302,198,250,142
gene078,150,219,72,291,131,102,128,142,246,59
gene076,1118,1320,1099,1396,1214,188,123,91,168,160
gene079,235,302,398,512,659,304,347,374,192,142
gene081,38,89,99,97,83,86,59,88,43,118
gene080,211,154,51,150,104,88,43,62,64,43
gene082,14,43,91,48,67,64,62,70,110,11
gene083,70,150,46,70,83,78,86,83,152,67
gene084,126,360,214,152,115,112,96,72,150,158
gene086,8,8,3,8,11,14,35,33,11,46
gene087,51,70,75,54,86,96,113,144,134,59
gene085,536,518,416,763,262,112,238,155,49,97
gene088,264,286,214,454,158,238,299,462,198,291
gene089,144,214,123,155,88,235,147,192,171,94
gene090,51,54,43,54,62,19,59,27,56,27
gene091,134,168,123,166,72,67,118,86,259,136
gene092,198,123,99,139,187,110,107,78,115,152
gene093,38,94,54,127,48,83,67,54,80,64
gene094,214,107,222,134,230,102,99,278,128,152
gene095,51,22,25,32,9,94,105,174,139,168
gene096,30,59,22,49,14,19,43,59,30,30
gene097,64,56,62,192,150,214,96,67,171,118
gene098,22,32,19,16,19,38,110,78,104,70
gene099,78,80,99,110,104,49,110,88,163,83
gene100,24,33,24,46,6,16,6,24,22,16
gene101,88,54,104,72,104,51,57,110,46,73
gene102,107,94,235,145,264,150,80,64,144,192
gene103,342,430,153,291,438,190,195,214,320,278
gene104,102,163,147,152,91,144,105,107,126,35
gene106,54,46,48,107,40,45,96,160,38,115
gene105,408,480,123,398,288,286,286,152,544,198
gene107,75,112,86,62,67,75,72,80,76,22
gene109,19,32,51,43,35,72,59,54,88,56
gene108,163,243,118,136,190,203,107,198,272,116
gene110,22,8,11,6,11,86,54,54,54,78
gene111,43,46,25,30,46,174,115,155,294,115
gene112,59,22,40,56,19,40,40,54,27,40
gene114,22,32,32,59,27,75,62,198,64,57
gene113,1106,2544,976,1771,1727,107,179,163,323,336
gene116,57,27,75,91,54,83,59,54,62,27
gene115,603,1136,432,414,638,659,486,890,534,347
gene118,6,19,22,19,14,64,75,49,91,171
gene117,144,99,70,104,99,46,70,147,78,102
gene119,62,134,40,65,71,387,235,344,310,275
gene120,14,14,17,24,35,235,96,198,112,160
gene121,96,83,6,102,67,80,64,119,113,59
gene122,491,350,214,380,358,78,139,302,200,216
gene123,104,91,65,91,86,59,72,43,110,80
gene124,166,91,38,72,86,123,46,158,43,72
gene126,16,14,11,8,14,51,35,14,38,88
gene125,379,246,318,259,531,248,456,528,424,214
gene128,25,32,25,43,41,22,41,75,51,19
gene129,30,14,22,11,19,59,94,115,94,86
gene127,451,550,464,651,187,206,152,275,179,336
gene130,115,115,75,104,176,104,88,147,142,126
gene132,22,51,27,17,24,11,19,35,27,22
gene131,160,291,288,270,179,256,124,384,216,318
gene133,139,115,88,96,83,81,166,136,131,107
gene134,358,374,179,536,224,208,96,358,235,392
gene135,155,128,72,171,131,113,129,86,198,120
gene136,142,136,49,104,152,83,118,62,160,126
gene137,33,17,11,25,11,40,46,102,22,43
gene138,291,259,315,120,307,59,88,72,46,16
gene139,62,27,27,86,91,72,35,80,88,48
gene140,35,146,206,144,54,112,75,219,88,136
gene142,64,116,35,67,70,99,102,110,99,86
gene141,756,833,456,611,280,136,113,171,75,62
gene143,432,171,223,152,232,150,152,334,232,104
gene145,59,38,33,62,86,46,43,107,70,33
gene144,763,643,712,611,750,153,205,288,187,147
gene146,128,91,118,96,64,88,137,153,99,155
gene147,38,70,27,22,56,35,43,38,27,51
gene149,16,11,27,27,22,115,128,134,160,94
gene148,96,78,25,59,102,41,32,70,73,30
gene150,160,78,134,294,70,102,136,59,91,94
